Loc,ID,Pat,Mat,Block,Initial,Germ,Pods,NumPods,NumSeeds,EarliestGerm,EarliestFlowPod,CrossType
2.1.10,BN,P63J,R88G,2,5,2,1,1,0,139,230,Nes
2.1.11,FL,139A,130A,2,5,0,0,0,0,NA,NA,Fac
2.1.12,GR,R80H,P71B,2,5,0,0,0,0,NA,NA,Nes
2.1.13,EG,330A,337A,2,5,0,0,0,0,NA,NA,Fac
2.1.2,EF,129B,120B,2,1,0,0,0,0,NA,NA,Fac
2.1.3,FI,139C,330A,2,5,0,0,0,0,NA,NA,Fac
2.1.4,FS,24A,362A,2,3,0,0,0,0,NA,NA,Fac
2.1.5,BL,B112F,Y127D,2,5,2,2,5,7,139,216,Nes
2.1.6,CW,B88B,P64B,2,5,1,0,0,0,132,NA,Nes
2.1.7,FM,129B,130A,2,5,1,0,0,0,NA,NA,Fac
2.1.8,BD,B22C,P100D,2,2,0,0,0,0,NA,NA,Nes
2.1.9,AR,B45H,R88O,2,3,0,0,0,0,NA,NA,Nes
2.10.1,FC,140B,122C,2,4,0,0,0,0,NA,NA,Fac
2.10.10,GL,P29A,P29J,2,5,0,0,0,0,NA,NA,Nes
2.10.11,CT,P27F,B22B,2,5,0,0,0,0,NA,NA,Nes
2.10.2,FA,129B,130C,2,2,2,0,0,0,146,NA,Fac
2.10.3,FZ,122E,140B,2,5,2,2,6,8,132,209,Fac
2.10.4,FF,136A,356A,2,5,1,1,3,10,132,202,Fac
2.10.5,CW,B88B,P64B,2,5,3,3,14,42,132,209,Nes
2.10.6,BM,P29I,P71D,2,5,0,0,0,0,NA,NA,Nes
2.10.7,AE,R80H,P31L,2,5,2,2,7,9,132,209,Nes
2.10.8,BA,P83M,B22G,2,5,2,1,11,20,132,202,Nes
2.10.9,AK,B110A,B86E,2,3,1,0,0,0,132,NA,Nes
2.2.1,CU,P63G,P29D,2,5,4,2,7,8,132,223,Nes
2.2.10,EK,22A,136A,2,1,1,1,18,42,132,209,Fac
2.2.11,AS,Y125D,B55F,2,5,0,0,0,0,NA,NA,Nes
2.2.12,FT,140A,122B,2,5,2,1,2,0,146,230,Fac
2.2.13,CB,R83F,P64C,2,5,4,3,24,7,132,209,Nes
2.2.2,BG,P71A,B57E,2,4,2,2,9,29,146,216,Nes
2.2.3,ZZ,misc2,misc2,2,5,1,0,0,0,146,NA,Mis
2.2.4,GK,331A,32A,2,5,1,1,2,0,146,209,Fac
2.2.5,ES,139A,120B,2,2,0,0,0,0,NA,NA,Fac
2.2.6,BJ,B110E,B114C,2,5,1,1,1,0,139,223,Nes
2.2.7,EE,356A,14C,2,5,0,0,0,0,NA,NA,Fac
2.2.8,CP,R84A,B113A,2,5,0,0,0,0,NA,NA,Nes
2.2.9,BK,R84A,P71Fb,2,5,3,3,59,15,132,202,Nes
2.3.1,CC,R83F,B112E,2,5,2,1,3,2,139,216,Nes
2.3.10,GB,11A,31A,2,4,3,3,24,7,139,209,Fac
2.3.11,CU,P63G,P29D,2,5,2,2,6,0,132,230,Nes
2.3.12,BU,P38H,P64K,2,5,3,3,8,5,132,195,Nes
2.3.13,BE,B22C,P27D,2,5,1,1,9,18,132,230,Nes
2.3.2,AQ,R83F,Y125E,2,2,0,0,0,0,NA,NA,Nes
2.3.3,FX,122E,136A,2,5,3,3,14,23,132,209,Fac
2.3.4,CQ,P62I,P63H,2,5,1,0,0,0,146,244,Nes
2.3.5,EQ,136A,122B,2,5,0,0,0,0,NA,NA,Fac
2.3.6,DZ,373B,336A,2,4,0,0,0,0,NA,NA,Fac
2.3.7,AM,Y124D,R84H,2,4,1,0,0,0,132,NA,Nes
2.3.8,FY,130A,139A,2,5,0,0,0,0,NA,NA,Fac
2.3.9,CS,P63A,P31M,2,5,0,0,0,0,NA,NA,Nes
2.4.1,FQ,357B,331B,2,5,0,0,0,0,NA,NA,Fac
2.4.10,BG,P71A,B57E,2,5,0,0,0,0,NA,NA,Nes
2.4.11,BR,P62G,Y125G*,2,5,2,2,24,15,132,202,Nes
2.4.12,CN,B86B,R88B,2,5,1,0,0,0,132,237,Nes
2.4.13,CH,R81E,P38D,2,5,4,3,29,13,132,195,Nes
2.4.2,CM,B22C,P29G,2,5,5,1,2,4,132,216,Nes
2.4.3,FW,129A,330A,2,2,0,0,0,0,NA,NA,Fac
2.4.4,CD,B110E,B88A,2,5,2,1,2,0,132,202,Nes
2.4.5,BS,R80D,R84E,2,3,0,0,0,0,NA,NA,Nes
